KR2m0033	幸魯盛典-清-弘毓圻
KR2m0034	萬壽盛典初集-清-王掞
KR2m0037	國朝宮史-清-高宗弘曆
KR2m0039	欽定南巡盛典-清-高晉
KR2m0040	八旬萬壽盛典-清-阿桂
KR2m0041	歷代建元考-清-鍾淵映
KR2m0042	北郊配位尊西向議-清-毛奇齡
KR2m0043	廟制圖考-清-萬斯同
KR2m0046	錢通-明-胡我琨
KR2m0051	補漢兵志-宋-錢文子
KR2n0001	崇文總目-宋-王堯臣
KR2n0002	郡齋讀書志-宋-晁公武
KR2n0005	直齋書錄解題-宋-陳振孫
KR2n0006	漢藝文志考證-宋-王應麟
KR2n0008	授經圖義例-明-朱睦㮮
KR2n0011	經義考-清-朱彝尊
KR2n0013	金石錄-宋-趙明誠
KR2n0026	寶刻類編-宋-闕名
KR2n0030	金薤琳琅-明-都穆
KR2n0036	求古錄-清-顧炎武
KR2n0037	金石文字記-清-顧炎武
KR2n0040	來齋金石刻考略-清-林侗
KR2n0041	崇陽石刻集記-清-葉封
KR2n0042	金石文考略-清-李光暎
KR2n0043	分隸偶存-清-萬經
KR2o0002	史通通釋-清-浦起龍
KR2o0004	唐史論斷-宋-孫甫
KR2o0014	通鑑答問-宋-王應麟
KR2o0015	歷代名賢確論-宋-闕名
KR2o0017	十七史纂古今通要-元-胡一桂
KR2o0020	御批資治通鑑綱目-宋-朱熹
KR2o0021	御批資治通鑑綱目前編-元-金履祥
KR2o0022	御批續資治通鑑綱目-明-商輅
KR2o0023	評鑑闡要-清-高宗弘曆
KR3a0006	鹽鐵論-漢-桓寬
KR3a0011	申鑒-漢-荀悅
KR3a0025	通書述解-明-曹端
KR3a0047	朱子語類-宋-黎靖德
KR3a0059	西山讀書記-宋-眞德秀
KR3a0064	黃氏日抄-宋-黃震
KR3a0073	辨惑編-元-謝應芳
KR3a0077	理學類編-明-張九韶
KR3a0078	性理大全書-明-胡廣
KR3a0079	讀書錄-明-薛瑄
KR3a0080	大學衍義補-明-丘濬
KR3a0083	東溪日談錄-明-周琦
KR3a0087	涇野子內篇-明-呂柟
KR3a0099	榕壇問業-明-黃道周
KR3a0105	御定孝經衍義-清-葉方藹
KR3a0106	御定內則衍義-清-世祖
KR3a0107	御纂性理精義-清-李光地
KR3a0110	御覽經史講義-清-蔣溥
KR3a0111	思辨錄輯要-清-陸世儀
KR3a0118	讀書偶記-清-雷鈜
KR3b0012	武經總要-宋-曾公亮
KR3b0013	虎鈴經-宋-許洞
KR3c0007	折獄龜鑑-宋-鄭克
KR3d0010	欽定授時通考-清-鄂爾泰
KR3e0001	黃帝內經素問-唐-王冰
KR3e0006	金匱要畧論註-漢-張機
KR3e0007	新編金匱要略方論-漢-
KR3e0009	新刊王氏脈經-晉-
KR3e0028	證類本草-宋-唐愼微
KR3e0029	重修政和經史證類備用本草-宋-
KR3e0067	普濟方-明-朱橚
KR3e0076	赤水元珠-明-孫一奎
KR3e0078	證治準繩-明-王肯堂
KR3e0079	本草綱目-明-李時珍
KR3e0086	景岳全書-明-張介賓
KR3e0089	本草乘雅半偈-明-廬之頤
KR3e0090	御纂醫宗金鑑-清-吳謙
KR3f0001	周髀算經-漢-趙君卿
KR3f0008	古今律歷考-明-邢雲路
KR3f0026	歷算全書-清-梅文鼎
KR3f0030	全史日至源流-清-許伯政
KR3f0037	五經算術-北周-甄鸞
KR3g0001	太玄經-漢-揚雄
KR3g0004	潛虛-宋-司馬光
KR3g0005	皇極經世書-宋-邵雍
KR3g0012	洪範皇極內篇-宋-蔡沈
KR3g0013	天原發微-宋-鮑雲龍
KR3g0016	三易洞璣-明-黃道周
KR3g0018	唐開元占經-唐-瞿曇悉達
KR3g0047	太乙金鏡式經-唐-王希明
KR3g0048	遁甲演義-明-程道生
KR3h0006	書斷-唐-張懷瓘
